profile,topology,seed,random_index,n_nodes,n_dampers,damping_trace,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,damping_nodes
paper,sparse_25,29,21,25,5,0.1,0.11612982743299266,0.11589986948111915,0.00013422980640687143,True,"2,6,16,17,23"
paper,sparse_25,29,22,25,5,0.1,0.09652028129824759,0.09651978666109806,9.314807537497138e-05,True,"2,3,4,10,17"
paper,sparse_25,29,23,25,5,0.1,0.050409545485783025,0.050415277665511696,2.5406223986335075e-05,True,"2,12,15,21,23"
paper,sparse_25,29,24,25,5,0.1,0.11392446269066497,0.11351993868189422,0.00012837013989897006,True,"14,16,19,21,22"
paper,sparse_25,29,25,25,5,0.1,0.20581718689825765,0.2058610229853763,0.00042294108023660515,True,"2,3,12,16,23"
paper,sparse_25,29,26,25,5,0.1,0.1735789369821748,0.17403752306140444,0.0003025490909617512,True,"6,14,17,20,22"
paper,sparse_25,29,27,25,5,0.1,0.10757067033021944,0.10656397984735011,0.00011351081903993032,True,"15,16,18,21,23"
paper,sparse_25,29,28,25,5,0.1,0.14954168063058798,0.14953718979368552,0.00019911220749152525,True,"2,12,15,20,22"
paper,sparse_25,29,29,25,5,0.1,0.10466447359000565,0.10428051672887984,0.00010775025250346626,True,"11,12,19,21,24"
paper,sparse_25,29,30,25,5,0.1,0.05936506657274075,0.057965463106768124,3.3592094176200515e-05,True,"1,4,12,14,23"
paper,sparse_25,29,31,25,5,0.1,0.09503907799470211,0.0948277196440192,8.988774714391301e-05,True,"3,16,18,21,23"
paper,sparse_25,29,32,25,5,0.1,0.0830760738881541,0.08126411738425589,6.602039468206478e-05,True,"3,11,16,17,23"
paper,sparse_25,29,33,25,5,0.1,0.0905028381754913,0.0904831185898334,8.181504602028378e-05,True,"6,13,16,18,23"
paper,sparse_25,29,34,25,5,0.1,0.15028574331731312,0.14695260113680522,0.00021554765691972344,True,"1,6,14,20,23"
paper,sparse_25,29,35,25,5,0.1,0.11968692583551603,0.12011274208698663,0.00014411024696892039,True,"11,12,18,20,23"
paper,sparse_25,29,36,25,5,0.1,0.09884765035681352,0.09885196649267311,9.767661530179356e-05,True,"3,15,16,19,24"
paper,sparse_25,29,37,25,5,0.1,0.08871475155257642,0.08869854287353181,7.865934009693154e-05,True,"4,6,10,18,22"
paper,sparse_25,29,38,25,5,0.1,0.06773929733290027,0.06530857341217113,4.262795053866508e-05,True,"1,3,14,17,23"
paper,sparse_25,29,39,25,5,0.1,0.06631598112048122,0.06575966758414564,4.296665993780424e-05,True,"4,12,14,19,21"
paper,sparse_25,29,40,25,5,0.1,0.11216700686705561,0.11224170609069958,0.00012592476086331628,True,"14,15,16,19,24"
paper,sparse_25,29,41,25,5,0.1,0.122822741392072,0.12263737554793232,0.00015002582286116617,True,"10,15,17,20,23"
paper,sparse_25,29,42,25,5,0.1,0.1893645765084078,0.1892811889913827,0.00035740248619141324,True,"2,3,6,11,24"
paper,sparse_25,29,43,25,5,0.1,0.11405266234046582,0.11403689995324144,0.00013002836927122896,True,"3,14,15,19,24"
paper,sparse_25,29,44,25,5,0.1,0.1382565786299449,0.1381329013226191,0.00018983319648188668,True,"4,6,12,14,20"
paper,sparse_25,29,45,25,5,0.1,0.0868034158339894,0.08531895448955142,7.273252907857852e-05,True,"2,10,11,16,17"
paper,sparse_25,29,46,25,5,0.1,0.14051644746885023,0.13681575017917888,0.00018685580199676033,True,"10,16,18,21,23"
paper,sparse_25,29,47,25,5,0.1,0.1553357246980278,0.1527463639392509,0.000233089888776572,True,"11,14,15,17,22"
paper,sparse_25,29,48,25,5,0.1,0.11140498139168965,0.11142037361389073,0.00012392069715250285,True,"1,4,10,12,18"
paper,sparse_25,29,49,25,5,0.1,0.15408373894938354,0.15377153390907475,0.00023626557964612216,True,"11,18,20,22,23"
paper,sparse_25,29,50,25,5,0.1,0.18095899632158977,0.18101476398804575,0.0003275835528655513,True,"4,10,18,19,21"
paper,sparse_25,29,51,25,5,0.1,0.11003688565192106,0.10841114270066474,0.00011747252244277695,True,"3,13,14,15,21"
paper,sparse_25,29,52,25,5,0.1,0.12839079882002905,0.12838917800823405,0.0001647964473182606,True,"2,13,15,19,20"
paper,sparse_25,29,53,25,5,0.1,0.12190659984523942,0.12178250421491113,0.0001369426632509274,True,"1,13,15,17,22"
paper,sparse_25,29,54,25,5,0.1,0.18332362752155704,0.18339925791353445,0.0003362512986423982,True,"6,16,18,21,24"
paper,sparse_25,29,55,25,5,0.1,0.092324063286906,0.09232089837413911,8.52130052568234e-05,True,"6,11,14,15,17"
paper,sparse_25,29,56,25,5,0.1,0.11439252601139567,0.11420628245656923,0.00013034542005339878,True,"2,6,11,17,23"
paper,sparse_25,29,57,25,5,0.1,0.13065249922802302,0.12540333751694702,0.00015716610180865898,True,"1,10,11,12,14"
paper,sparse_25,29,58,25,5,0.1,0.19301634259219216,0.19459465302592588,0.00037834451028601057,True,"3,6,13,18,24"
paper,sparse_25,29,59,25,5,0.1,0.1365499295982357,0.13610477517053393,0.00018513651065768522,True,"3,11,18,21,24"
paper,sparse_25,29,60,25,5,0.1,0.14422840451342933,0.14388523187523647,0.0001201741761683861,True,"1,12,15,16,20"
paper,sparse_25,29,61,25,5,0.1,0.16211722112730761,0.16213078457608915,0.00026221521273050996,True,"1,10,12,16,24"
paper,sparse_25,29,62,25,5,0.1,0.17401262805323267,0.17403312057900006,0.00030283122406077334,True,"4,6,10,12,16"
paper,sparse_25,29,63,25,5,0.1,0.08874371180238445,0.08852615090105703,7.835196759278795e-05,True,"11,16,17,20,24"
paper,sparse_25,43,0,25,5,0.1,0.086712517961209,0.0864581638402379,7.469531227807802e-05,True,"0,6,10,16,19"
paper,sparse_25,43,1,25,5,0.1,0.15678279971589307,0.15679326930094387,0.0002457930463348676,True,"3,6,13,17,22"
paper,sparse_25,43,2,25,5,0.1,0.12304833865166441,0.12305165721881633,0.00015141689999803587,True,"0,11,13,20,22"
paper,sparse_25,43,3,25,5,0.1,0.10542686621521109,0.10527252825859684,0.0001108006560574526,True,"2,3,12,17,22"
paper,sparse_25,43,4,25,5,0.1,0.10009302275693478,0.1000946620449169,0.00010012851608420803,True,"3,10,11,14,21"
paper,sparse_25,43,5,25,5,0.1,0.09913358884618909,0.09912584598766616,9.825521842166118e-05,True,"13,17,18,19,23"
paper,sparse_25,43,6,25,5,0.1,0.12052551656529231,0.12076578417905454,0.00014570849586847956,True,"2,16,17,21,22"
paper,sparse_25,43,7,25,5,0.1,0.08980347880802167,0.08929632414196063,7.948853745115558e-05,True,"0,6,7,16,21"
paper,sparse_25,43,8,25,5,0.1,0.08791062925510457,0.08800126219680496,7.74312108390296e-05,True,"2,15,17,18,23"
paper,sparse_25,43,9,25,5,0.1,0.07080613070803753,0.07052653629393615,4.972790608459565e-05,True,"6,10,21,22,24"
paper,sparse_25,43,10,25,5,0.1,0.09909316065349362,0.09399924854276748,8.730585828709003e-05,True,"0,2,13,15,18"
paper,sparse_25,43,11,25,5,0.1,0.08888644311500635,0.08881527253404958,7.885400319407321e-05,True,"12,13,18,21,23"
paper,sparse_25,43,12,25,5,0.1,0.14817917195006994,0.14816767514865256,0.00021949237891327744,True,"3,6,14,16,24"
paper,sparse_25,43,13,25,5,0.1,0.10418817837649307,0.10419613673209602,0.00010856772700387762,True,"0,13,16,18,21"
paper,sparse_25,43,14,25,5,0.1,0.13984416261411844,0.13974747557099887,0.00019524201259418783,True,"2,6,10,14,18"
paper,sparse_25,43,15,25,5,0.1,0.11179699708296613,0.11167094604665592,0.00012450614635795,True,"3,12,19,20,22"
paper,sparse_25,43,16,25,5,0.1,0.1468645213564169,0.14683794089829308,0.00021556621502250017,True,"2,3,6,14,15"
paper,sparse_25,43,17,25,5,0.1,0.15254252643124536,0.15241870449911848,0.00023210157210934446,True,"2,10,15,16,19"
paper,sparse_25,43,18,25,5,0.1,0.13845860793401019,0.13829762436761622,0.00019116398377971855,True,"6,10,14,17,20"
paper,sparse_25,43,19,25,5,0.1,0.12716729893920684,0.12714799388293474,0.00016163482764330883,True,"3,7,14,17,20"
paper,sparse_25,43,20,25,5,0.1,0.10476049986572131,0.10481649095972174,0.00010984179337272804,True,"3,7,15,16,17"
paper,sparse_25,43,21,25,5,0.1,0.14588690163247994,0.14597832465843613,0.00021296222085086247,True,"3,13,14,19,24"
paper,sparse_25,43,22,25,5,0.1,0.10269627212327984,0.103045864330013,0.00010617758983832992,True,"10,11,12,15,16"
paper,sparse_25,43,23,25,5,0.1,0.1036643207948216,0.1029063089926329,0.00010512128079795402,True,"0,7,10,13,23"
paper,sparse_25,43,24,25,5,0.1,0.15451796411007893,0.1546029801876376,0.00023895092460574086,True,"10,14,15,21,22"
paper,sparse_25,43,25,25,5,0.1,0.10397885301345211,0.10397854280717761,0.00010810988446430247,True,"12,13,14,21,23"
paper,sparse_25,43,26,25,5,0.1,0.1272130557780414,0.1276436880069067,0.00016289958947091066,True,"10,12,13,15,17"
