profile,topology,seed,strategy,n_nodes,n_input_nodes,n_readout_nodes,n_dampers,damping_trace,readout_nodes,damping_nodes,calibration_minimum_visibility,unseen_minimum_visibility,unseen_minimum_decay_rate,unseen_all_observable,plus_converged,minus_converged,minimum_phase_convergence_fraction,total_active_sample_steps,dynamic_vs_exact_centered_gradient_error,dynamic_vs_implicit_gradient_error,dynamic_vs_implicit_cosine,exact_centered_vs_implicit_error,free_exact_residual,plus_exact_residual,minus_exact_residual
paper,sparse_25,29,random_0,25,5,5,5,0.1,"17,18,20,22,24","1,10,19,21,24",0.17671302931652655,0.1771090849206884,0.0003133863494246547,True,True,True,1.0,1782825,0.0011505173238289053,0.00114735599406382,0.9999994306282979,2.7310107135529114e-05,4.203280745074234e-13,1.6130654839256062e-16,1.752377628467098e-16
paper,sparse_25,43,calibration_modal,25,5,5,5,0.1,"21,22,23,24,7","10,13,16,17,23",0.20000509723255974,0.20007899645519,0.0003991960694779695,True,True,True,1.0,1524825,0.0005786908369607074,0.0005820985324274393,0.9999998478396767,3.230938498724423e-05,3.153892964532738e-14,1.6840951119028806e-16,2.2872018514166336e-16
paper,sparse_25,43,topology_only,25,5,5,5,0.1,"21,22,23,24,7","21,22,23,24,7",0.09215943224364241,0.09216102577874528,8.490555020090884e-05,True,False,False,0.0,2880000,0.00612493542972098,0.006123755085324591,0.9999816264207584,3.230938498724423e-05,3.153892964532738e-14,1.6840951119028806e-16,2.2872018514166336e-16
paper,sparse_25,43,random_0,25,5,5,5,0.1,"21,22,23,24,7","0,6,10,16,19",0.086712517961209,0.0864581638402379,7.469531227807802e-05,True,False,False,0.0,2880000,0.009577563811152687,0.009576784992032742,0.999954587237103,3.230938498724423e-05,3.153892964532738e-14,1.6840951119028806e-16,2.2872018514166336e-16
paper,sparse_25,71,calibration_modal,25,5,5,5,0.1,"16,18,22,23,14","0,3,19,23,24",0.2733942342270971,0.2733915831561819,0.0007467766987620528,True,True,True,1.0,679100,0.001050583240902774,0.0010532081567747771,0.9999994922002076,2.728557803656838e-05,6.073942396367774e-13,3.2103949486759954e-16,1.7604175016242101e-16
paper,sparse_25,71,topology_only,25,5,5,5,0.1,"16,18,22,23,14","16,18,22,23,14",0.14766322764029016,0.14766688455570323,0.0002180175301405296,True,True,True,1.0,1767950,0.0007030442489908616,0.0007043111343223107,0.9999997543082911,2.728557803656838e-05,6.073942396367774e-13,3.2103949486759954e-16,1.7604175016242101e-16
paper,sparse_25,71,random_0,25,5,5,5,0.1,"16,18,22,23,14","1,4,12,14,16",0.13801048678949765,0.1380036081826607,0.00019039751670925364,True,False,False,0.0,2880000,0.0006537247965677512,0.000649461785038471,0.9999998494333013,2.728557803656838e-05,6.073942396367774e-13,3.2103949486759954e-16,1.7604175016242101e-16
paper,sparse_25,97,calibration_modal,25,5,5,5,0.1,"17,19,23,24,14","8,9,12,20,21",0.3127657413947353,0.3125577696470237,0.000976698789395214,True,True,True,1.0,705350,0.00032980750321456886,0.0003278145093296052,0.9999999502563861,1.7434952168340318e-05,1.1671348162124658e-11,3.401882965583776e-16,2.571562997794204e-16
paper,sparse_25,97,topology_only,25,5,5,5,0.1,"17,19,23,24,14","17,19,23,24,14",0.19565565337431035,0.19265381370934825,0.0003709128897201597,True,True,True,1.0,1526350,0.0005401914585391531,0.00054093035168777,0.9999998543861348,1.7434952168340318e-05,1.1671348162124658e-11,3.401882965583776e-16,2.571562997794204e-16
paper,sparse_25,97,random_0,25,5,5,5,0.1,"17,19,23,24,14","6,12,17,19,21",0.21971069277998706,0.2249702123225405,0.0005057767300146732,True,True,True,1.0,1194700,0.0006226966164531777,0.0006226309074614634,0.9999998063031866,1.7434952168340318e-05,1.1671348162124658e-11,3.401882965583776e-16,2.571562997794204e-16
