profile,dataset,seed,chain_size,support_width,damping_trace,dt,physical_time,steps_per_phase,dynamic_vs_exact_centered_gradient_error,plus_state_vs_exact_error,minus_state_vs_exact_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,maximum_relative_split_energy_balance_error,median_relative_split_energy_balance_error,mean_dissipated_energy_two_phases,free_exact_residual,plus_exact_residual,minus_exact_residual,gradient_difference_vs_finest_dt,plus_state_difference_vs_finest_dt,minus_state_difference_vs_finest_dt
paper,moons,43,17,8,5.0,0.2,1200.0,6000,0.005911769131563927,5.756435860681354e-07,5.295199301996028e-07,3.954191958630704e-07,3.870415894681834e-07,1.6243970732142484e-06,1.7279113531273264e-06,0.006832634268018411,0.00648280733315882,0.0018839326025937124,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.004975657212241945,4.823422127915892e-07,5.03143458566668e-07
paper,moons,43,17,8,5.0,0.1,1200.0,12000,0.0022418836640211177,4.4093049444851433e-07,4.758353942639852e-07,3.286175452138415e-07,3.225205569586803e-07,1.7018521273791347e-06,1.7790042578451709e-06,0.0017081584055574717,0.0016207016666680701,0.0018931252427100407,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.0011483996320605016,1.4621130256647255e-07,1.4701770371385632e-07
paper,moons,43,17,8,5.0,0.05,1200.0,24000,0.0013495418162548646,4.4898626957997105e-07,5.082330588705447e-07,3.1885595488031364e-07,3.1259404642775056e-07,1.708742558525965e-06,1.778541466052349e-06,0.000427039590862228,0.00040517540579437247,0.0018954234024411792,1.6784395347452852e-16,1.6774426194076306e-16,2.3339365093378384e-16,0.0,0.0,0.0
paper,spirals,17,17,1,5.0,0.2,1200.0,6000,5.21269147890889,0.0007771979214636148,0.0007746213179742498,0.0004153860787563738,0.0004178739462271162,0.0005877400321289393,0.0005874917706879827,0.006994947315057849,0.006645038005481364,0.0018362431567763584,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.3208450546780486,0.0003013787075133548,0.0003018554957585741
paper,spirals,17,17,1,5.0,0.1,1200.0,12000,5.772096685721082,0.0007854741132335958,0.0007848979415322445,0.00041002069123421134,0.00041183748496108796,0.0005543358622413788,0.0005529157582427706,0.0017487642897505073,0.0016612611913874261,0.0018454392201086418,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.1316324292441208,0.00018383609786074164,0.00018399550854766457
paper,spirals,17,17,1,5.0,0.05,1200.0,24000,5.9971517982685105,0.0007890751888215387,0.0007890014708014026,0.00039743408921327544,0.0003992909675781234,0.0005420184608651181,0.0005403339665030303,0.0004371882729994285,0.0004153149641612668,0.0018477381837872305,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.0,0.0,0.0
paper,spirals,17,17,6,5.0,0.2,1200.0,6000,0.10837564691688023,1.971456322550243e-05,2.100132800922953e-05,6.629337956572898e-06,7.805488143218476e-06,2.9710386512472268e-05,3.170546275926347e-05,0.006996167487654243,0.0066462921826904746,0.0018365406920550797,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.09580524158205714,9.914969481377207e-06,1.018648873234477e-05
paper,spirals,17,17,6,5.0,0.1,1200.0,12000,0.09473651294813555,2.1582688803493522e-05,2.3611083091710082e-05,9.294879864724358e-06,1.041708537332859e-05,3.113219663467757e-05,3.2721911058904046e-05,0.0017490414284496746,0.001661572580403013,0.0018457308978045454,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.01992571316073106,2.619862840621144e-06,2.6411889717453e-06
paper,spirals,17,17,6,5.0,0.05,1200.0,24000,0.09795259927713601,2.232495287006187e-05,2.449231538369968e-05,9.854767657038806e-06,1.0962903307537681e-05,3.1299217359669305e-05,3.27770317476558e-05,0.0004372603286497525,0.00041539311543906885,0.0018480284485063042,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.0,0.0,0.0
paper,spirals,17,17,8,5.0,0.2,1200.0,6000,0.006577343313612475,6.853343315696974e-07,6.367180414169768e-07,8.232013611604546e-07,8.016285481330737e-07,1.3444330438783072e-06,1.4555727637003737e-06,0.006996571001999129,0.006646709231656761,0.00183654026257088,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.003998770332125225,5.230180189259005e-07,5.42124827568426e-07
paper,spirals,17,17,8,5.0,0.1,1200.0,12000,0.005484113822940848,5.465530009079541e-07,5.693168830736753e-07,5.784114729844957e-07,5.571020981380209e-07,1.4474984515427168e-06,1.5391266707643869e-06,0.0017491426041685197,0.0016616771648464313,0.0018457310486631729,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.0010160979591837334,2.7574768162400835e-07,2.7165771674718996e-07
paper,spirals,17,17,8,5.0,0.05,1200.0,24000,0.00556490037146944,5.443137075052637e-07,5.904530649324642e-07,5.814059587531023e-07,5.711876217352715e-07,1.4635075664567358e-06,1.5496656533194506e-06,0.00043728564146334803,0.00041541928181571105,0.0018480287449362657,1.445668037660194e-16,1.9185367192037787e-16,2.0104561171085987e-16,0.0,0.0,0.0
paper,spirals,29,17,1,5.0,0.2,1200.0,6000,3.0657648682557186,0.0007055039293182316,0.0006983982307302693,0.0003594820636487278,0.00035902196342721453,0.000513252213156672,0.0005129673990391909,0.007135099272341854,0.006785275149037201,0.0017986146781101102,1.8404942629708763e-16,1.765059825578534e-16,2.637324013145942e-16,0.34581330321839854,0.0002996523208239743,0.00030205083008010735
paper,spirals,29,17,1,5.0,0.1,1200.0,12000,4.150870613294361,0.0008105130731556444,0.0008044484187888029,0.00035926708221939023,0.00035969794480932943,0.0005239034387944539,0.0005236316864737418,0.001783791465600411,0.0016963086471903852,0.001807804195248766,1.8404942629708763e-16,1.765059825578534e-16,2.637324013145942e-16,0.17162518648119934,0.00019649469383563878,0.0001967719645416536
paper,spirals,29,17,1,5.0,0.05,1200.0,24000,4.464864447061462,0.0008354764120875596,0.0008298087466486108,0.000381052170188219,0.00038074339177459227,0.0005235962019405037,0.0005233769756004627,0.0004459499839737264,0.0004240773325383469,0.001810101768153231,1.8404942629708763e-16,1.765059825578534e-16,2.637324013145942e-16,0.0,0.0,0.0
