profile,seed,chain_size,variant,eta,n_damped,base_damping_trace,slow_mode_index,slow_mode_frequency,first_order_decay_coefficient,first_order_predicted_decay_rate,exact_decay_rate,relative_prediction_error,exact_free_residual
paper,17,9,single_terminal,0.003,1,0.7,8,2.05491685701924,0.003123700896072716,9.371102688218149e-06,9.37106931552835e-06,3.5612340308020253e-06,8.362734666696147e-17
paper,17,9,single_terminal,0.01,1,0.7,8,2.05491685701924,0.003123700896072716,3.123700896072716e-05,3.123577297798816e-05,3.956789654716936e-05,8.362734666696147e-17
paper,17,9,single_terminal,0.03,1,0.7,8,2.05491685701924,0.003123700896072716,9.371102688218148e-05,9.367766533707744e-05,0.0003560044768902624,8.362734666696147e-17
paper,17,9,paper_boundary,0.0001,3,0.7,8,2.05491685701924,0.03009979944930576,3.009979944930576e-06,3.0099799388745503e-06,2.011982021326431e-09,8.362734666696147e-17
paper,17,9,paper_boundary,0.0003,3,0.7,8,2.05491685701924,0.03009979944930576,9.029939834791727e-06,9.029939671356213e-06,1.8099291544414736e-08,8.362734666696147e-17
paper,17,9,paper_boundary,0.001,3,0.7,8,2.05491685701924,0.03009979944930576,3.009979944930576e-05,3.0099793396557665e-05,2.010893164192729e-07,8.362734666696147e-17
paper,17,9,paper_boundary,0.003,3,0.7,8,2.05491685701924,0.03009979944930576,9.029939834791728e-05,9.029923492291604e-05,1.8098127367071163e-06,8.362734666696147e-17
paper,17,9,paper_boundary,0.01,3,0.7,8,2.05491685701924,0.03009979944930576,0.0003009979944930576,0.0003009919415845833,2.0109464465018604e-05,8.362734666696147e-17
paper,17,9,paper_boundary,0.03,3,0.7,8,2.05491685701924,0.03009979944930576,0.0009029939834791727,0.0009028305237328768,0.00018101975127907629,8.362734666696147e-17
paper,17,9,uniform_trace,0.0001,9,0.7,7,1.958531811127398,0.03888888888888887,3.888888888888887e-06,3.88888888881551e-06,1.8868312325506e-11,8.362734666696147e-17
paper,17,9,uniform_trace,0.0003,9,0.7,7,1.958531811127398,0.03888888888888887,1.166666666666666e-05,1.1666666666553931e-05,9.662419441567362e-12,8.362734666696147e-17
paper,17,9,uniform_trace,0.001,9,0.7,7,1.958531811127398,0.03888888888888887,3.888888888888887e-05,3.888888888875855e-05,3.351114029128055e-12,8.362734666696147e-17
paper,17,9,uniform_trace,0.003,9,0.7,7,1.958531811127398,0.03888888888888887,0.00011666666666666661,0.00011666666666655526,9.54407683836526e-13,8.362734666696147e-17
paper,17,9,uniform_trace,0.01,9,0.7,7,1.958531811127398,0.03888888888888887,0.0003888888888888887,0.00038888888888880696,2.1021131264247534e-13,8.362734666696147e-17
paper,17,9,uniform_trace,0.03,9,0.7,7,1.958531811127398,0.03888888888888887,0.0011666666666666661,0.0011666666666665605,9.051539280007559e-14,8.362734666696147e-17
