profile,seed,chain_size,beta,requested_tolerance,plus_converged,minus_converged,both_converged,plus_steps,minus_steps,gradient_cosine,dynamic_vs_implicit_relative_error,dynamic_vs_centered_relative_error,exact_truncation_relative_error,state_error_bound_relative,residual_bound_relative,residual_relaxation_bound_relative,state_error_bound_holds,residual_bound_holds,plus_state_frobenius_error,minus_state_frobenius_error,plus_parameter_map_lipschitz,minus_parameter_map_lipschitz,plus_endpoint_curvature,minus_endpoint_curvature,minimum_endpoint_curvature,global_strong_convexity_lower_bound,floor_only_strong_convexity_margin,achieved_max_residual,achieved_max_velocity
paper,17,9,0.01,0.0003,True,True,True,650,650,0.9978056767807605,0.06668844391912464,0.06669784443286364,0.0010412494451374603,0.38191908065962366,2.0344634947300673,2.0334222452849295,True,True,0.0009010806275495018,0.0008248624722138458,0.3385683767621215,0.33856703514705055,0.24458906318089776,0.24259639576009182,0.24259639576009182,0.20291398515282805,0.04,0.0002351513522028826,0.00029475594365107114
paper,17,9,0.005,0.0003,True,True,True,525,525,0.9951798095026009,0.09860335318738649,0.09860048778442326,0.00026028178456423114,0.7550616161795853,3.695727781958363,3.695467500173799,True,True,0.0008658185611975169,0.0008443683129535795,0.3385679027695888,0.33856736390142167,0.24409958273023535,0.24310291422860833,0.24310291422860833,0.20791398515282805,0.045000000000000005,0.00022030197621249046,0.00025983226331151
paper,17,9,0.12,0.0001,True,True,True,1525,1475,0.9896639156979613,0.15262705704669263,0.0019241870732897473,0.15275391980539582,0.1668414396094223,0.2888768418922128,0.13612292208681698,True,True,0.00044636222128219163,0.00031968687442281255,0.33857353654482797,0.3385595609302329,0.2535861201364963,0.23150766828765335,0.23150766828765335,0.09291398515282806,-0.06999999999999999,9.651675697951508e-05,9.979544963508757e-05
paper,17,9,0.08,0.0001,True,True,True,1350,1350,0.9978809846891187,0.06688510553221831,0.0041679169725332395,0.06725071109946491,0.08506473433816691,0.2107036793379265,0.1434529682384616,True,True,0.0003755048463453391,0.0002702870223697067,0.3385717740926502,0.33856251147484084,0.25071554433114684,0.2352661434024958,0.2352661434024958,0.13291398515282804,-0.03,9.177145523810047e-05,8.904804104272855e-05
paper,17,9,0.05,0.0001,True,True,True,1200,1200,0.9996829009613393,0.026929726648148106,0.004415680347335971,0.026126397130602545,0.04955567157668037,0.20750721815052106,0.1813808210199185,True,True,0.0003187156026822126,0.00021213124994095712,0.3385703095157385,0.33856460118977566,0.2482630495145249,0.23841084548236102,0.23841084548236102,0.16291398515282807,0.0,8.823110434169441e-05,9.384774941636029e-05
paper,17,9,0.035,0.0001,True,True,True,1075,1100,0.9999080109060112,0.01531128754293008,0.007338111593091475,0.012777481362291225,0.046956362884589015,0.2694650015109586,0.25668752014866736,True,True,0.00029167259005342,0.0002504115728803067,0.3385695386557152,0.33856555095028995,0.24693803790808447,0.23999949750240948,0.23999949750240948,0.17791398515282805,0.015,9.307496073204562e-05,9.861943696260748e-05
paper,17,9,0.02,0.0001,True,True,True,950,1025,0.999947409337309,0.011916202744351723,0.010874946663326243,0.004166946589225939,0.06819151674770564,0.3735480397103345,0.36938109312110856,True,True,0.00033035803698225363,0.00024989501230361595,0.33856873684693173,0.3385664374992524,0.24554894567344576,0.24156899827445313,0.24156899827445313,0.19291398515282807,0.030000000000000002,8.630834567519226e-05,8.439306929176814e-05
paper,17,9,0.01,0.0001,True,True,True,825,875,0.999917103720756,0.012937174874046681,0.012887982673039311,0.0010412494451374603,0.1324084235664744,0.7090794335314523,0.7080381840863148,True,True,0.00030487342494847104,0.00029041540753311823,0.33856819028783264,0.33856709982679917,0.24458906318089776,0.24259639576009182,0.24259639576009182,0.20291398515282805,0.04,8.831928232039241e-05,9.476232004049851e-05
paper,17,9,0.005,0.0001,True,True,True,700,700,0.9989406271896425,0.0824492721887181,0.08248057782134065,0.00026028178456423114,0.24355048099038507,1.320609013506633,1.320348731722069,True,True,0.00028004144274103337,0.00027119189940241214,0.3385680045216375,0.3385673281578502,0.24409958273023535,0.24310291422860833,0.24310291422860833,0.20791398515282805,0.045000000000000005,7.843749589512441e-05,8.901203834832776e-05
paper,17,9,0.12,3e-05,True,True,True,1925,1775,0.9897085895191806,0.15277541773574552,0.00029889204985926297,0.15275391980539582,0.15615923851810753,0.19202360708713137,0.039269687281735556,True,True,0.00010474948169070066,8.042457217428484e-05,0.33857353654482797,0.3385595609302329,0.2535861201364963,0.23150766828765335,0.23150766828765335,0.09291398515282806,-0.06999999999999999,2.720569365939018e-05,2.9144027451720636e-05
