dataset,seed,chain_size,support_width,damped_fraction,damping_trace,damping_per_node,budget_steps,physical_time,dt,dynamic_vs_implicit_relative_error,dynamic_vs_exact_centered_relative_error,exact_centered_vs_implicit_relative_error,dynamic_vs_implicit_cosine,plus_state_relative_error,minus_state_relative_error,plus_residual,minus_residual,plus_velocity_norm,minus_velocity_norm,mean_dissipated_energy_two_phases,minimum_eigenspace_visibility,median_eigenspace_visibility,minimum_spectral_decay_rate,median_spectral_decay_rate,all_modes_observable,free_exact_residual,plus_exact_residual,minus_exact_residual
moons,43,17,1,0.058823529411764705,5.0,5.0,1000,100.0,0.1,7.974098015257722,7.9341699411137885,0.8029508940114564,-0.025567535018345876,0.004035317523811522,0.0040371927109120465,0.0024373151405065368,0.0024429032294214672,0.0025678102094553604,0.0025707961870033895,0.0018812475783578342,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,1,0.058823529411764705,5.0,5.0,4000,400.0,0.1,5.034779182986283,4.971821912636445,0.8029508940114564,-0.551473803034576,0.00201402150488295,0.0020114514814668747,0.0010086313614043269,0.0010081927920375568,0.0011409425430871484,0.001137108995549172,0.001890465237825679,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,1,0.058823529411764705,5.0,5.0,16000,1600.0,0.1,2.4705766084072858,2.3344515646587056,0.8029508940114564,0.9421485858258394,0.0003871303367584826,0.00038726205594669073,0.000329975234932651,0.00033134606862301054,0.0003700215283684053,0.00037136015020485533,0.0018920067364949777,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,1,0.058823529411764705,5.0,5.0,40000,4000.0,0.1,0.9670783595879607,0.5378862289738187,0.8029508940114564,0.8050770887074152,8.640905745819661e-05,8.999813294198167e-05,0.00018291095351966838,0.00018268104908951337,9.914719533789086e-05,9.93558634132845e-05,0.0018920921509910568,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,1,0.058823529411764705,5.0,5.0,80000,8000.0,0.1,0.8054415437776864,0.06481883145537777,0.8029508940114564,0.7602305393607809,2.7342000656747385e-05,2.7129056055998863e-05,0.0001217386516075164,0.000121154007202139,5.8293277813842846e-05,5.861313060889071e-05,0.0018920998089900676,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,1,0.058823529411764705,5.0,5.0,160000,16000.0,0.1,0.8030636568523597,0.01387441018217113,0.8029508940114564,0.7743700407328798,1.2779186187248176e-05,1.2822086898138984e-05,5.613169105887612e-05,5.6383082545704876e-05,2.3528970170760347e-05,2.3620399153498537e-05,0.001892102897532478,0.02537653043819726,0.02559564278371558,7.947676689440408e-05,8.086840257770511e-05,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,2,0.11764705882352941,5.0,2.5,1000,100.0,0.1,18.357927132940084,18.342456566515935,0.8029508940114564,-0.966165113183169,0.002669304546956784,0.0027213447705859302,0.0011628458629880424,0.00117898660429248,0.0014782309862270407,0.0014760112915885508,0.0018887120266244714,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,2,0.11764705882352941,5.0,2.5,4000,400.0,0.1,9.809996410956508,9.778675712954898,0.8029508940114564,-0.7038173368073626,0.0011959493734669641,0.0012355331480387115,0.0003973128181291208,0.00040629367062589033,0.0006916813994523434,0.0007024696137074031,0.001891629137663806,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,2,0.11764705882352941,5.0,2.5,16000,1600.0,0.1,1.1293930223518565,0.7947092663647553,0.8029508940114564,0.5836049517684629,0.0002335563422834178,0.0002430982659316558,0.00010479636336202353,0.00010686605848772004,0.000181976903858595,0.00018818921466736164,0.0018920865187166055,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
moons,43,17,2,0.11764705882352941,5.0,2.5,40000,4000.0,0.1,0.8140487596103398,0.1329632914137817,0.8029508940114564,0.7903528787286148,1.7521514517756726e-05,1.9012082789007875e-05,3.0078843909920443e-05,3.0037746477665133e-05,1.4590544890600962e-05,1.449889294772936e-05,0.0018921032979492807,0.08443642418476764,0.08515276412456488,0.00027195227731025007,0.0002770223597992616,True,2.0030685202099867e-16,1.7256466408425233e-16,3.5766692538090333e-16
